SN,Timestamp,MSPGCL_THM,MSPGCL_HY,MSPGCL_GAS,TOTAL,WIND,CPP_THM,CPP_GAS,SOLAR,CS_SHARE,CS_RECPT,Mum_NET_EXCH,MSEDCL_DEM_MET,LOAD_SHEDDING,MSEDCL_DEM_LS,MUMBAI_DEMAND,OTHER_DISCOM_DEMAND,STATE_DEMAND,FREQ_Hz
1,01-03-2023 00:00,6523,188,238,6949,602,7833,0,0,6332,6285,-1425,19860,0,19860,2397,384,22641,50.03
2,01-03-2023 01:00,6683,154,238,7075,615,7852,0,0,6250,6356,-1336,20191,0,20191,2228,371,22790,50.00
3,01-03-2023 02:00,6753,155,240,7148,673,7769,0,0,6477,6305,-1257,20312,0,20312,2102,326,22740,49.98
4,01-03-2023 03:00,6391,155,240,6786,775,7790,0,0,6680,6646,-1200,20462,0,20462,2037,335,22834,49.98
5,01-03-2023 04:00,6665,155,240,7060,789,7855,0,0,6633,6475,-1181,20653,0,20653,2032,345,23030,50.01
6,01-03-2023 05:00,6797,155,240,7192,926,7856,0,0,7077,7038,-1191,21437,0,21437,2147,384,23968,49.99
7,01-03-2023 06:00,6952,284,240,7476,780,7840,0,8,7422,7273,-1346,21637,0,21637,2304,394,24335,50.01
8,01-03-2023 07:00,7116,835,240,8191,706,7919,0,224,7009,7245,-1311,22555,0,22555,2476,419,25450,50.02
9,01-03-2023 08:00,7224,349,244,7817,567,7914,0,775,7475,7532,-1447,22710,0,22710,2751,448,25909,50.02
10,01-03-2023 09:00,7080,291,234,7605,487,7779,0,1303,8057,7697,-1652,22768,0,22768,3007,451,26226,50.02
11,01-03-2023 10:00,6916,470,225,7611,387,7670,0,1805,8513,8987,-1911,24113,0,24113,3191,436,27740,50.05
12,01-03-2023 11:00,7172,215,208,7595,327,7619,0,2040,8674,8870,-2031,23983,0,23983,3264,437,27684,50.03
13,01-03-2023 12:00,7014,213,198,7425,321,7545,0,2111,8631,8363,-2051,23272,0,23272,3215,442,26929,49.99
14,01-03-2023 13:00,6575,219,200,6994,267,7459,0,2022,8743,8517,-1960,22848,0,22848,3100,451,26399,50.07
15,01-03-2023 14:00,6647,368,197,7212,193,7529,0,1812,8674,8776,-2149,22935,0,22935,3123,438,26496,49.97
16,01-03-2023 15:00,7138,709,194,8041,178,7578,0,1360,8538,8171,-2113,22776,0,22776,3196,439,26411,50.06
17,01-03-2023 16:00,7144,498,200,7842,152,7639,0,833,7965,7875,-1828,22043,0,22043,3207,470,25720,50.02
18,01-03-2023 17:00,7176,248,212,7636,228,7696,0,305,7549,7533,-1581,21349,0,21349,3148,468,24965,50.02
19,01-03-2023 18:00,7181,282,215,7678,331,7705,0,15,7200,7087,-1633,20709,0,20709,3075,474,24258,49.98
20,01-03-2023 19:00,7433,445,221,8099,413,7825,0,0,7350,7205,-1670,21430,0,21430,3024,442,24896,50.01
21,01-03-2023 20:00,6992,217,227,7436,461,7693,0,0,6707,6292,-1598,19822,0,19822,2888,462,23172,50.03
22,01-03-2023 21:00,6432,216,227,6875,464,7643,0,0,6470,6705,-1637,19609,0,19609,2744,441,22794,50.02
23,01-03-2023 22:00,6735,216,225,7176,423,7671,0,0,6324,6361,-1513,19695,0,19695,2639,423,22757,50.03
24,01-03-2023 23:00,6710,211,227,7148,445,7656,0,0,6464,6376,-1498,19711,0,19711,2564,416,22691,50.00
1,02-03-2023 00:00,7159,160,232,7551,545,7140,0,0,6262,6466,-1336,19999,0,19999,2433,367,22799,50.00
2,02-03-2023 01:00,7290,154,233,7677,738,7299,0,0,6222,6130,-1189,20303,0,20303,2278,352,22933,50.01
3,02-03-2023 02:00,7175,154,234,7563,824,7252,0,0,6237,6155,-1096,20361,0,20361,2164,337,22862,50.03
4,02-03-2023 03:00,7151,155,236,7542,929,7181,0,0,6178,6151,-1032,20446,0,20446,2093,325,22864,49.99
5,02-03-2023 04:00,7224,153,236,7613,1024,7220,0,0,6476,6508,-1010,21004,0,21004,2085,351,23440,50.16
6,02-03-2023 05:00,7345,202,237,7784,1011,7337,0,0,6778,6890,-1069,21551,0,21551,2183,402,24136,50.06
7,02-03-2023 06:00,7417,851,234,8502,918,7379,0,1,6652,6892,-1129,22145,0,22145,2329,418,24892,50.04
8,02-03-2023 07:00,7488,1017,237,8742,818,7349,0,205,6783,6965,-1196,22449,0,22449,2504,434,25387,50.05
9,02-03-2023 08:00,7570,509,236,8315,620,7331,0,710,7419,7916,-1426,22999,0,22999,2787,467,26253,50.07
10,02-03-2023 09:00,7412,388,233,8033,559,7296,0,1237,8132,8201,-1656,23208,0,23208,3058,462,26728,49.99
11,02-03-2023 10:00,7414,491,229,8134,431,7286,0,1674,8723,8944,-1918,24083,0,24083,3270,468,27821,50.01
12,02-03-2023 11:00,7490,528,208,8226,317,7331,0,1901,8808,9237,-2055,24497,0,24497,3331,460,28288,49.98
13,02-03-2023 12:00,7476,313,199,7988,463,7166,0,2015,8667,8509,-2088,23608,0,23608,3226,445,27279,49.96
14,02-03-2023 13:00,7056,243,199,7498,533,7200,0,1905,8757,8835,-1977,23551,0,23551,3188,443,27182,50.03
15,02-03-2023 14:00,7382,228,198,7808,416,7235,0,1667,8702,8946,-2155,23482,0,23482,3219,435,27136,49.93
16,02-03-2023 15:00,7511,376,203,8090,379,7306,0,1277,8578,8436,-2126,22904,0,22904,3243,458,26605,49.93
17,02-03-2023 16:00,7502,827,198,8527,437,7431,0,764,7825,7599,-1754,22538,0,22538,3223,466,26227,49.96
18,02-03-2023 17:00,7512,546,203,8261,478,7372,0,244,7624,7469,-1704,21655,0,21655,3144,465,25264,50.02
19,02-03-2023 18:00,7486,527,216,8229,479,7402,0,6,7028,6823,-1483,20978,0,20978,3103,478,24559,49.98
20,02-03-2023 19:00,7489,886,223,8598,491,7396,0,0,7064,7131,-1504,21650,0,21650,3056,462,25168,49.94
21,02-03-2023 20:00,7396,244,215,7855,494,7358,0,0,6692,6707,-1526,20429,0,20429,2914,459,23802,49.97
22,02-03-2023 21:00,7474,261,233,7968,384,7282,0,0,6253,6481,-1480,20187,0,20187,2776,448,23411,49.96
23,02-03-2023 22:00,7496,210,228,7934,400,7386,0,0,6216,6403,-1476,20212,0,20212,2686,435,23333,49.97
24,02-03-2023 23:00,7418,210,234,7862,377,7328,0,0,6562,6423,-1426,20154,0,20154,2619,410,23183,49.99
1,03-03-2023 00:00,7399,210,234,7843,406,7307,0,0,6447,6502,-1237,20435,0,20435,2492,386,23313,49.93
2,03-03-2023 01:00,7420,222,234,7876,470,7348,0,0,6512,6721,-1212,20840,0,20840,2342,363,23545,49.97
3,03-03-2023 02:00,7274,160,235,7669,465,7283,0,0,6606,6777,-1137,20739,0,20739,2213,318,23270,50.00
4,03-03-2023 03:00,7160,205,237,7602,531,7329,0,0,6726,6790,-1061,20871,0,20871,2137,320,23328,49.98
5,03-03-2023 04:00,7156,571,239,7966,489,7312,0,0,6587,6902,-1054,21272,0,21272,2136,343,23751,50.00
6,03-03-2023 05:00,7159,1255,238,8652,454,7481,0,0,6498,6707,-1070,21848,0,21848,2230,376,24454,49.96
7,03-03-2023 06:00,7360,1742,241,9343,507,7451,0,5,6628,6755,-1085,22568,0,22568,2390,408,25366,49.98
8,03-03-2023 07:00,7344,1950,236,9530,454,7463,0,218,6764,6925,-1172,23000,0,23000,2551,418,25969,50.03
9,03-03-2023 08:00,7328,1103,239,8670,345,7509,0,684,7391,7763,-1410,23107,0,23107,2831,454,26392,50.03
10,03-03-2023 09:00,7364,664,225,8253,332,7511,0,1272,8022,8188,-1642,23444,0,23444,3110,470,27024,50.03
11,03-03-2023 10:00,7377,635,220,8232,386,7491,0,1667,8679,8655,-1891,24057,0,24057,3323,483,27863,50.01
12,03-03-2023 11:00,7369,703,207,8279,572,7376,0,1946,8927,9004,-2150,24554,0,24554,3404,472,28430,50.00
13,03-03-2023 12:00,7315,244,197,7756,784,7055,0,2012,9138,8890,-2126,23899,0,23899,3411,472,27782,50.04
14,03-03-2023 13:00,6805,218,197,7220,794,7018,0,1940,8883,8785,-2019,23291,0,23291,3271,446,27009,50.07
15,03-03-2023 14:00,6834,277,199,7310,732,7068,0,1601,8833,9131,-2233,23144,0,23144,3308,465,26917,49.98
16,03-03-2023 15:00,7234,336,196,7766,678,7120,0,1168,8727,8881,-2258,22893,0,22893,3357,462,26712,49.96
17,03-03-2023 16:00,7333,457,198,7988,701,7164,0,705,7667,7740,-1717,22107,0,22107,3318,474,25899,49.99
18,03-03-2023 17:00,7339,238,201,7778,563,7239,0,267,7089,7731,-1525,21575,0,21575,3224,478,25277,50.02
19,03-03-2023 18:00,7325,669,213,8207,469,7196,0,9,7070,6915,-1629,20696,0,20696,3139,471,24306,49.91
20,03-03-2023 19:00,7451,743,219,8413,433,7329,0,0,6906,7325,-1480,21561,0,21561,3112,459,25132,50.02
21,03-03-2023 20:00,7328,220,222,7770,467,7295,0,0,6664,6974,-1427,20627,0,20627,2967,452,24046,50.05
22,03-03-2023 21:00,7171,226,228,7625,443,7180,0,0,6398,6777,-1462,20109,0,20109,2841,454,23404,50.03
23,03-03-2023 22:00,7476,227,223,7926,432,7313,0,0,6048,6281,-1309,20212,0,20212,2751,431,23394,49.99
24,03-03-2023 23:00,7409,326,231,7966,392,7247,0,0,6399,6275,-1297,20173,0,20173,2700,410,23283,49.97
1,04-03-2023 00:00,7482,234,233,7949,404,7379,0,0,6650,6687,-1460,20583,0,20583,2571,376,23530,50.00
2,04-03-2023 01:00,7419,389,235,8043,487,7340,0,0,6628,6827,-1360,20980,0,20980,2418,357,23755,49.98
3,04-03-2023 02:00,7485,311,235,8031,606,7237,0,0,6922,6671,-1236,20976,0,20976,2287,333,23596,49.98
